,count,missing,unique,top,freq,mean,std,min,25%,50%,75%,max,skew,kurtosis
muc_nuoc_thuong_luu_m,33264,0,2650,116.87,137,108.88176436988937,7.006474833574744,84.21,105.42,110.07,114.47,117.19,-1.087840802878904,1.032912010823206
luu_luong_den_ho_m3_s,33264,0,4900,40.0,2191,1586.2164502164503,1454.6349600350015,9.0,483.0,1139.0,2354.0,11247.0,1.5708529595330356,3.636563034150716
tong_luong_xa_m3_s,33264,0,3306,231.0,179,1552.9295033670035,1382.0937012585562,23.0,596.0,1181.0,2171.0,10583.0,2.356865580902403,8.107522101042765
tong_luong_xa_qua_dap_tran_m3_s,33264,0,917,0.0,30203,243.40443121693121,904.583856581398,0.0,0.0,0.0,0.0,8212.0,4.7581463154278865,26.015009843189574
tong_luong_xa_qua_nha_may_m3_s,33264,0,2362,231.0,179,1309.5250721500722,774.4653768508763,23.0,596.0,1181.0,2156.0,2982.0,0.11775528827195286,-1.5187381866039635
