,N,MAE,RMSE,R2
DecisionTree,6653.0,1.3385835361984233,3.239189646901914,0.8648792067800503
XGBoost,6653.0,1.54115215045844,3.545842967577437,0.838084497692484
CNN_LSTM,6653.0,2.0146204719675334,3.645080773231086,0.8288945874337025
