,count,missing,unique,top,freq,mean,std,min,25%,50%,75%,max,skew,kurtosis
muc_nuoc_thuong_luu_m,34343,0,2653,116.72,145,109.1210121422124,7.022361660672523,84.21,105.5,110.34,114.95,117.19,-1.1085674250414517,1.0588968493860076
luu_luong_den_ho_m3_s,34343,0,4946,40.0,2216,1592.2944704888914,1445.1928267656374,9.0,497.0,1161.0,2361.0,11247.0,1.5551068095137661,3.608677203505744
tong_luong_xa_m3_s,34343,0,3435,231.0,179,1558.0417552339632,1376.3846111723572,23.0,606.0,1184.0,2170.0,10583.0,2.329059258404954,7.960261068485245
tong_luong_xa_qua_dap_tran_m3_s,34343,0,924,0.0,31053,247.5810499956323,899.7876301336582,0.0,0.0,0.0,0.0,8212.0,4.70109150559558,25.675682236324715
tong_luong_xa_qua_nha_may_m3_s,34343,0,2367,231.0,179,1310.460705238331,769.2714703497745,23.0,606.0,1183.0,2148.0,2982.0,0.11997550435497904,-1.5056965725217424
