thoi_diem,ten_ho,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,muc_nuoc_thuong_luu_m_filled,year_x,month_x,pct_change,anom_iqr_units,out_pct,is_event_month,year_y,month_y,lb_m,ub_m,luu_luong_den_ho_m3_s_capped_x,luu_luong_den_ho_m3_s_capped_roll_mean_6h,luu_luong_den_ho_m3_s_capped_roll_mean_24h,luu_luong_den_ho_m3_s_capped_roll_mean_72h,luu_luong_den_ho_m3_s_capped_roll_mean_168h,luu_luong_den_ho_m3_s_capped_roll_std_24h,luu_luong_den_ho_m3_s_capped_roll_std_168h,luu_luong_den_ho_m3_s_capped_diff_1,luu_luong_den_ho_m3_s_capped_diff_6,luu_luong_den_ho_m3_s_capped_diff_24,luu_luong_den_ho_m3_s_capped_lag_1,luu_luong_den_ho_m3_s_capped_lag_6,luu_luong_den_ho_m3_s_capped_lag_24,luu_luong_den_ho_m3_s_capped_lag_72,luu_luong_den_ho_m3_s_capped_month_median,luu_luong_den_ho_m3_s_capped_anom,luu_luong_den_ho_m3_s_capped_iqrscore,luu_luong_den_ho_m3_s_capped_pct_in_month,log1p_luu_luong_den_ho_m3_s_capped,luu_luong_den_ho_m3_s_capped_y,phase_pre_lu_som,phase_lu_som,phase_lu_chinh_vu,phase_tai_tich
2022-01-01 00:00:00,Hòa Bình,112.13,848.0,1104.0,0.0,1104.0,112.13,2022,1,,0.8115642746515229,3.494623655913978,0,2022,1,0.0,1640.5,848.0,848.0,848.0,848.0,848.0,,,,,,,,,,583.5,264.5,0.4007575757575757,0.7009408602150538,6.744059186311348,848.0,0,0,0,0
2022-01-01 01:00:00,Hòa Bình,112.14,700.0,589.0,0.0,589.0,112.14,2022,1,,0.8115642746515229,3.494623655913978,0,2022,1,0.0,1640.5,700.0,774.0,774.0,774.0,774.0,104.65180361560904,104.65180361560904,-148.0,,,848.0,,,,583.5,116.5,0.1765151515151515,0.5989583333333334,6.55250788703459,700.0,0,0,0,0
2022-01-01 02:00:00,Hòa Bình,112.14,700.0,589.0,0.0,589.0,112.14,2022,1,,0.8115642746515229,3.494623655913978,0,2022,1,0.0,1640.5,700.0,749.3333333333334,749.3333333333334,749.3333333333334,749.3333333333334,85.44783984006462,85.44783984006462,0.0,,,700.0,,,,583.5,116.5,0.1765151515151515,0.5989583333333334,6.55250788703459,700.0,0,0,0,0
2022-01-01 03:00:00,Hòa Bình,112.14,700.0,589.0,0.0,589.0,112.14,2022,1,,0.8115642746515229,3.494623655913978,0,2022,1,0.0,1640.5,700.0,737.0,737.0,737.0,737.0,74.0,74.0,0.0,,,700.0,,,,583.5,116.5,0.1765151515151515,0.5989583333333334,6.55250788703459,700.0,0,0,0,0
2022-01-01 04:00:00,Hòa Bình,112.14,700.0,589.0,0.0,589.0,112.14,2022,1,,0.8115642746515229,3.494623655913978,0,2022,1,0.0,1640.5,700.0,729.6,729.6,729.6,729.6,66.18761213399378,66.18761213399378,0.0,,,700.0,,,,583.5,116.5,0.1765151515151515,0.5989583333333334,6.55250788703459,700.0,0,0,0,0
2022-01-01 05:00:00,Hòa Bình,112.14,700.0,589.0,0.0,589.0,112.14,2022,1,,0.8115642746515229,3.494623655913978,0,2022,1,0.0,1640.5,700.0,724.6666666666666,724.6666666666666,724.6666666666666,724.6666666666666,60.420746988651736,60.420746988651736,0.0,,,700.0,,,,583.5,116.5,0.1765151515151515,0.5989583333333334,6.55250788703459,700.0,0,0,0,0
2022-01-01 06:00:00,Hòa Bình,112.14,700.0,589.0,0.0,589.0,112.14,2022,1,,0.8115642746515229,3.494623655913978,0,2022,1,0.0,1640.5,700.0,700.0,721.1428571428571,721.1428571428571,721.1428571428571,55.93874200536565,55.93874200536565,0.0,-148.0,,700.0,848.0,,,583.5,116.5,0.1765151515151515,0.5989583333333334,6.55250788703459,700.0,0,0,0,0
2022-01-01 07:00:00,Hòa Bình,112.2,820.0,250.0,0.0,250.0,112.2,2022,1,,0.8115642746515229,3.494623655913978,0,2022,1,0.0,1640.5,820.0,720.0,733.5,733.5,733.5,62.479710992563696,62.479710992563696,120.0,120.0,,700.0,700.0,,,583.5,236.5,0.3583333333333333,0.6792674731182796,6.710523109452428,820.0,0,0,0,0
2022-01-01 08:00:00,Hòa Bình,112.2,820.0,250.0,0.0,250.0,112.2,2022,1,,0.8115642746515229,3.494623655913978,0,2022,1,0.0,1640.5,820.0,740.0,743.1111111111111,743.1111111111111,743.1111111111111,65.16986351919964,65.16986351919964,0.0,120.0,,820.0,700.0,,,583.5,236.5,0.3583333333333333,0.6792674731182796,6.710523109452428,820.0,0,0,0,0
2022-01-01 09:00:00,Hòa Bình,112.2,820.0,250.0,0.0,250.0,112.2,2022,1,,0.8115642746515229,3.494623655913978,0,2022,1,0.0,1640.5,820.0,760.0,750.8,750.8,750.8,66.07874090810142,66.07874090810142,0.0,120.0,,820.0,700.0,,,583.5,236.5,0.3583333333333333,0.6792674731182796,6.710523109452428,820.0,0,0,0,0
